quarter_end,quarter,year,region,market,total_subscriptions,subscription_penetration_%,subscriber_penetration,TAM,SOM
3/31/2025,Q1,2025,LATAM,JM,2092815.785,0.245587138,513968.6386,1182127.869,618472.0657
3/31/2025,Q1,2025,LATAM,MX,43016870.91,0.054281899,2335037.425,5370586.076,2686229.495
3/31/2025,Q1,2025,LATAM,PA,1747529.513,0.043960685,76822.59501,176691.9685,101462.9737
3/31/2025,Q1,2025,LATAM,PE,4743524.4,0.032761176,155403.4369,357427.905,189974.5675
3/31/2025,Q1,2025,LATAM,PY,311816.9163,0.006730393,2098.650427,4826.895982,3548.469017
3/31/2025,Q1,2025,LATAM,TT,236584.1555,0,0,0,0
3/31/2025,Q1,2025,LATAM,UY,948771.6817,0.0077471,7350.228946,16905.52658,6724.062353
3/31/2025,Q1,2025,LATAM,VE,2537359.524,0.03116958,79088.43144,181903.3923,99156.46892
3/31/2025,Q1,2025,UCAN,CA,29114387.01,0.071181836,2072415.52,4766555.696,2249725.868
3/31/2025,Q1,2025,UCAN,US,407063226.4,0.108925685,44339640.81,101981173.9,44235589.68
6/30/2025,Q2,2025,APAC,AU,18779620.39,0.056870163,1068000.068,2456400.157,1345920.229
6/30/2025,Q2,2025,APAC,BD,468779.6652,0,0,0,0
6/30/2025,Q2,2025,APAC,BN,106292.4191,0,0,0,0
6/30/2025,Q2,2025,APAC,HK,3063406.623,0.058496539,179198.6851,412156.9758,221654.795
6/30/2025,Q2,2025,APAC,ID,3692566.134,0.029966724,110654.1115,254504.4564,137623.9068
6/30/2025,Q2,2025,APAC,IN,35375669.45,0.03468129,1226873.864,2821809.888,1453494.12
6/30/2025,Q2,2025,APAC,JP,29578694.53,0.02825954,835880.3091,1922524.711,910065.4624
6/30/2025,Q2,2025,APAC,KR,12740654.17,0.016978715,216319.9333,497535.8466,255206.8405
6/30/2025,Q2,2025,APAC,LK,338800.4127,0,0,0,0
6/30/2025,Q2,2025,APAC,MY,3165249.324,0.030192036,95565.323,219800.2429,120265.5865
6/30/2025,Q2,2025,APAC,NZ,3274089.491,0.058578176,191790.1905,441117.4382,258965.6478
6/30/2025,Q2,2025,APAC,PH,8260785.918,0.033822283,279398.6404,642616.873,336428.2851
6/30/2025,Q2,2025,APAC,PK,1380178.899,0,0,0,0
6/30/2025,Q2,2025,APAC,SG,1587627.915,0.045598641,72393.67609,166505.455,93112.53139
6/30/2025,Q2,2025,APAC,TH,5673918.611,0.033006405,187275.6544,430734.0051,242129.4299
6/30/2025,Q2,2025,APAC,TW,5314067.327,0.032302011,171655.0597,394806.6374,223434.8221
6/30/2025,Q2,2025,APAC,VN,5643726.327,0,0,0,0
6/30/2025,Q2,2025,EMEA,AE,2663912.617,0.040109342,106847.7819,245749.8984,148347.8442
6/30/2025,Q2,2025,EMEA,AL,58749.95629,0,0,0,0
6/30/2025,Q2,2025,EMEA,AT,3511980.425,0.058157459,204247.8562,469770.0693,256210.3215
6/30/2025,Q2,2025,EMEA,BA,155945.296,0,0,0,0
6/30/2025,Q2,2025,EMEA,BE,4715586.984,0.059081209,278602.5802,640785.9345,357956.654
6/30/2025,Q2,2025,EMEA,BG,314793.9496,0.017368719,5467.567613,12575.40551,9148.087659
6/30/2025,Q2,2025,EMEA,BH,133366.5177,0.00665437,887.470185,2041.181426,1506.144757
6/30/2025,Q2,2025,EMEA,CH,4765208.201,0.05109286,243468.117,559976.6692,287142.2832
6/30/2025,Q2,2025,EMEA,CY,294654.1821,0,0,0,0
6/30/2025,Q2,2025,EMEA,CZ,1152766.978,0.035029661,40381.03657,92876.38411,52031.72978
6/30/2025,Q2,2025,EMEA,DE,39013341.08,0.057443143,2241048.932,5154412.544,2598525.625
6/30/2025,Q2,2025,EMEA,DK,3831828.735,0.073643829,282190.5401,649038.2422,344279.5739
6/30/2025,Q2,2025,EMEA,DZ,295870.7007,0.014198497,4200.919282,9662.114348,6768.706349
6/30/2025,Q2,2025,EMEA,EE,278867.7569,0.015339147,4277.593473,9838.464988,4101.860501
6/30/2025,Q2,2025,EMEA,EG,659099.1374,0.023883619,15741.67289,36205.84766,17653.83894
6/30/2025,Q2,2025,EMEA,ES,19938222.44,0.054273565,1082118.408,2488872.338,1406073.725
6/30/2025,Q2,2025,EMEA,FI,4001391.104,0.064633977,258625.8215,594839.3893,297081.6424
6/30/2025,Q2,2025,EMEA,FR,31923031.23,0.072786566,2323567.817,5344205.979,2921204.231
6/30/2025,Q2,2025,EMEA,GB,44493171.31,0.065522265,2915293.356,6705174.718,3512586.242
6/30/2025,Q2,2025,EMEA,GH,164057.9053,0,0,0,0
6/30/2025,Q2,2025,EMEA,GR,1273020.406,0.048213621,61376.92315,141166.9232,79536.65734
6/30/2025,Q2,2025,EMEA,HR,419506.1325,0.019260684,8079.975101,18583.94273,12542.94093
6/30/2025,Q2,2025,EMEA,HU,1017014.428,0.046952208,47751.07266,109827.4671,57935.28775
6/30/2025,Q2,2025,EMEA,IE,1943830.078,0.065917001,128131.4483,294702.331,181522.9622
6/30/2025,Q2,2025,EMEA,IL,1216060.319,0,0,0,0
6/30/2025,Q2,2025,EMEA,IQ,143480.1687,0.007964741,1142.782429,2628.399586,1300.492028
6/30/2025,Q2,2025,EMEA,IR,20924.25547,0,0,0,0
6/30/2025,Q2,2025,EMEA,IS,193309.357,0.014045192,2715.066993,6244.654084,3933.99328
6/30/2025,Q2,2025,EMEA,IT,15872077.85,0.054925912,871788.3469,2005113.198,1066048.946
6/30/2025,Q2,2025,EMEA,JO,268778.242,0.00572967,1540.010611,3542.024405,2313.720219
6/30/2025,Q2,2025,EMEA,KE,432806.1507,0,0,0,0
6/30/2025,Q2,2025,EMEA,KW,246034.9171,0.001670151,410.9154519,945.1055395,682.632484
6/30/2025,Q2,2025,EMEA,LB,194826.4789,0.005797435,1129.493794,2597.835727,1755.030001
6/30/2025,Q2,2025,EMEA,LT,309071.781,0.007647044,2363.485623,5436.016933,3112.258456
6/30/2025,Q2,2025,EMEA,LU,175118.2643,0,0,0,0
6/30/2025,Q2,2025,EMEA,LV,167402.0264,0.008450207,1414.581728,3253.537975,1917.111521
6/30/2025,Q2,2025,EMEA,MA,494769.3735,0.014801813,7323.483521,16844.0121,12048.30828
6/30/2025,Q2,2025,EMEA,MT,269620.2266,0,0,0,0
6/30/2025,Q2,2025,EMEA,NG,598192.4422,0,0,0,0
6/30/2025,Q2,2025,EMEA,NL,9857681.197,0.065677327,647426.1528,1489080.151,755282.7559
6/30/2025,Q2,2025,EMEA,NO,8311586.77,0.073569215,611476.9154,1406396.905,745428.4103
6/30/2025,Q2,2025,EMEA,OM,230266.4902,0.004282031,986.0083463,2267.819197,1411.718359
6/30/2025,Q2,2025,EMEA,PL,7807987.712,0.060549092,472766.5641,1087363.097,568152.5345
6/30/2025,Q2,2025,EMEA,PT,2433651.418,0.055077414,134039.2272,308290.2226,168523.9346
6/30/2025,Q2,2025,EMEA,QA,388928.5749,0.006698842,2605.371213,5992.35379,4428.271938
6/30/2025,Q2,2025,EMEA,RO,1439583.616,0.05392323,77626.99786,178542.0951,98717.92007
6/30/2025,Q2,2025,EMEA,RS,374897.8298,0,0,0,0
6/30/2025,Q2,2025,EMEA,SA,1812105.649,0.043700897,79190.64249,182138.4777,105494.4352
6/30/2025,Q2,2025,EMEA,SE,6806520.426,0.067850011,461822.4875,1062191.721,561284.1499
6/30/2025,Q2,2025,EMEA,SI,268863.4074,0,0,0,0
6/30/2025,Q2,2025,EMEA,SK,511022.2072,0.014140573,7226.146591,16620.13716,13668.50075
6/30/2025,Q2,2025,EMEA,TN,506223.7,0,0,0,0
6/30/2025,Q2,2025,EMEA,TR,11648338.38,0.061629813,717884.9212,1651135.319,888409.6771
6/30/2025,Q2,2025,EMEA,UA,818604.7998,0,0,0,0
6/30/2025,Q2,2025,EMEA,ZA,907994.5698,0.097881472,88875.84544,204414.4445,122547.4753
6/30/2025,Q2,2025,LATAM,AR,20761188.64,0.055018669,1142252.973,2627181.838,1517492.583
6/30/2025,Q2,2025,LATAM,BR,56484593.8,0.06945127,3922926.802,9022731.645,4751997.93
6/30/2025,Q2,2025,LATAM,CL,8815616.594,0.048562488,428108.2783,984649.04,561987.0821
6/30/2025,Q2,2025,LATAM,CO,14204849.89,0.050510403,717492.697,1650233.203,961757.4479
6/30/2025,Q2,2025,LATAM,EC,3638775.465,0.024838507,90381.75022,207878.0255,115331.9764
6/30/2025,Q2,2025,LATAM,JM,2136029.297,0.228774975,488670.0497,1123941.114,761229.9537
6/30/2025,Q2,2025,LATAM,MX,43701372.16,0.056407528,2465086.386,5669698.688,3021175.181
6/30/2025,Q2,2025,LATAM,PA,1764895.176,0.031812851,56146.34707,129136.5983,81650.11575
6/30/2025,Q2,2025,LATAM,PE,4831885.052,0.035965164,173779.5407,399692.9437,217326.2282
6/30/2025,Q2,2025,LATAM,PY,340464.9301,0.004655864,1585.158243,3645.863959,2170.681176
6/30/2025,Q2,2025,LATAM,TT,243530.7463,0,0,0,0
6/30/2025,Q2,2025,LATAM,UY,958402.2773,0.00794598,7615.44487,17515.5232,5370.465992
6/30/2025,Q2,2025,LATAM,VE,2659054.152,0.039296102,104490.463,240328.065,137859.0773
6/30/2025,Q2,2025,UCAN,CA,29165915.58,0.069460928,2025891.559,4659550.585,2341678.768
6/30/2025,Q2,2025,UCAN,US,408889099.6,0.109847916,44915615.66,103305916,49850406.82
9/30/2025,Q3,2025,APAC,AU,19350393.06,0.053151794,1028508.102,2365568.634,1252001.625
9/30/2025,Q3,2025,APAC,BD,520029.9663,0,0,0,0
9/30/2025,Q3,2025,APAC,BN,117913.07,0,0,0,0
9/30/2025,Q3,2025,APAC,HK,3204990.94,0.053020989,169931.7894,390843.1156,205557.8382
9/30/2025,Q3,2025,APAC,ID,3747516.329,0.032723317,122631.1643,282051.6779,158197.6159
9/30/2025,Q3,2025,APAC,IN,35898516.33,0.035360654,1269395.032,2919608.574,1552363.081
9/30/2025,Q3,2025,APAC,JP,30315792.27,0.02564771,777530.6388,1788320.469,926444.7326
9/30/2025,Q3,2025,APAC,KR,13334940.1,0.017372017,231654.8109,532806.0651,287009.4091
9/30/2025,Q3,2025,APAC,LK,375840.4754,0,0,0,0
9/30/2025,Q3,2025,APAC,MY,3253256.755,0.026724705,86942.32751,199967.3533,117403.5659
9/30/2025,Q3,2025,APAC,NZ,3348888.904,0.052801998,176828.025,406704.4576,226722.9476
9/30/2025,Q3,2025,APAC,PH,8285488.625,0.030688177,254266.5439,584813.0509,309039.4079
9/30/2025,Q3,2025,APAC,PK,1531069.693,0,0,0,0
9/30/2025,Q3,2025,APAC,SG,1669693.681,0.043227239,72176.24747,166005.3692,91735.04716
9/30/2025,Q3,2025,APAC,TH,5824504.98,0.028854105,168060.8794,386540.0227,234376.7825
