talent,parrot_id,country,non_home_demand,home_demand,flag
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,SG,0.01,,https://flagicons.lipis.dev/flags/4x3/sg.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,EC,0.009,,https://flagicons.lipis.dev/flags/4x3/ec.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,AE,0.008,,https://flagicons.lipis.dev/flags/4x3/ae.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,KE,0.008,,https://flagicons.lipis.dev/flags/4x3/ke.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,RO,0.007,,https://flagicons.lipis.dev/flags/4x3/ro.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,PR,0.007,,https://flagicons.lipis.dev/flags/4x3/pr.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,UA,0.007,,https://flagicons.lipis.dev/flags/4x3/ua.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,MA,0.006,,https://flagicons.lipis.dev/flags/4x3/ma.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,IQ,0.006,,https://flagicons.lipis.dev/flags/4x3/iq.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,NO,0.005,,https://flagicons.lipis.dev/flags/4x3/no.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,CZ,0.005,,https://flagicons.lipis.dev/flags/4x3/cz.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,RS,0.005,,https://flagicons.lipis.dev/flags/4x3/rs.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,UY,0.005,,https://flagicons.lipis.dev/flags/4x3/uy.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,KR,0.004,,https://flagicons.lipis.dev/flags/4x3/kr.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,TT,0.003,,https://flagicons.lipis.dev/flags/4x3/tt.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,EE,0.003,,https://flagicons.lipis.dev/flags/4x3/ee.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,PY,0.003,,https://flagicons.lipis.dev/flags/4x3/py.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,TN,0.003,,https://flagicons.lipis.dev/flags/4x3/tn.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,HK,0.002,,https://flagicons.lipis.dev/flags/4x3/hk.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,JM,0.002,,https://flagicons.lipis.dev/flags/4x3/jm.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,LB,0.002,,https://flagicons.lipis.dev/flags/4x3/lb.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,BG,0.002,,https://flagicons.lipis.dev/flags/4x3/bg.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,SA,0.002,,https://flagicons.lipis.dev/flags/4x3/sa.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,JO,0.002,,https://flagicons.lipis.dev/flags/4x3/jo.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,IS,0.002,,https://flagicons.lipis.dev/flags/4x3/is.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,DZ,0.002,,https://flagicons.lipis.dev/flags/4x3/dz.svg
