short_id,name,home_country,average_home_demand,average_travelability
3990514473,Omar Sy,FR,32.27760396621871,0.7731359745677202
1079983415,Pearl Thusi,ZA,8.745316272317229,0.01226439842001199
1101186237,Thuso Mbedu,ZA,8.050290512202851,0.04165340254600135
867223115,Richard Mofe-Damijo,NG,6.360823137777001,0.008474307497417986
4059503986,Damson Idris,GB,10.327827062745706,0.606392563177559
4241968704,Viola Davis,US,25.247940045558195,0.9969758068409654
2287487609,John Boyega,GB,14.270200209167188,0.3152959578484216
2761879153,Idris Elba,GB,25.463938348943426,1.9928445333904374
3691505792,Ayo Edebiri,US,24.249586855277876,0.9253942657690063
3429769562,Trevor Noah,ZA,20.52872591530024,0.5270623875774028
147671261,Funke Akindele,NG,32.0056356786029,0.11468362421998785
1824248451,Lupita Nyong'o,US,16.773861756272343,0.2853112852243322
3697147110,Issa Rae,US,23.331614687593184,0.2953801284908892
