parrot_id,short_id,name,content_type,home_country,country,average_demand,peak_demand,market_standing,market_travelability_index
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,TN,0.5136161597752912,31.127570354291436,Average,0.012434568809538278
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,PK,0.47148628046014246,6.526366465857451,Average,0.011414610863684407
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,CN,0.46745550782626205,5.633595931410148,Average,0.011317026473634223
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,PE,0.45272698866995437,3.575769883123388,Average,0.010960451273601894
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,RS,0.4311082292763713,35.14539706474928,Average,0.01043706440942307
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,VE,0.3923361903811985,3.945633305232909,Average,0.009498399267463658
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,RO,0.39053784785488405,3.7812759402202896,Average,0.009454861669471494
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,AU,0.3750057832033641,3.652177497388329,Average,0.009078832755684944
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,CL,0.3437380307969349,8.485282820207095,Average,0.008321845243867846
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,NO,0.32710998196637125,10.999877754795678,Average,0.007919282720440885
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,EG,0.325021489346404,9.29837640098316,Average,0.007868720632981338
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,PH,0.2932764844301573,2.9224948700101843,Average,0.0071001789107682
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,ZA,0.2866401765500611,8.1173443083152,Average,0.006939514910218761
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,LT,0.2828341656511644,33.511284481745456,Average,0.006847371967456041
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,AE,0.2810168328976884,10.78537881197978,Average,0.006803374618963713
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,QA,0.2769762697129925,22.502251195333013,Average,0.0067055532011731
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,EE,0.2468838744943371,9.25135429346579,Average,0.005977020907419145
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,UY,0.24652188181688273,5.584664334045371,Average,0.0059682571199668084
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,GH,0.24025891478045314,22.92841938796554,Average,0.005816631644241074
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,EC,0.22392732813067573,3.0630932970010143,Average,0.005421246424947272
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,FI,0.19690938989968293,2.8055424399764393,Average,0.004767146265458292
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,SA,0.17463459461997138,5.943700867583842,Average,0.00422787687263948
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,IR,0.16290853718465756,3.387391519800692,Average,0.003943990812458275
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,LK,0.15377588009015905,7.870635680717949,Average,0.003722890578569328
